player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Anthony Rizzo,519203,2022,90,46,90,93,92,88,80,73,69,76,83,68,15,12
Brian Serven,661531,2022,,,,,,,,,,,,,35,
Kevin Plawecki,608700,2022,,,,,,,,,,,,,8,
Wil Myers,571976,2022,,,,,,,,,,,,,80,
Kevin Smith,675656,2022,,,,,,,,,,,,,58,88
Mauricio Dubón,643289,2022,,,,,,,,,,,,,81,93
Luis García,671277,2022,,,,,,,,,,,,,43,1
Nelson Velázquez,676369,2022,,,,,,,,,,,,,68,
Ian Happ,664023,2022,54,53,44,36,70,54,41,61,48,45,73,29,68,43
Tyler Naquin,571980,2022,,,,,,,,,,,,,71,
Omar Narváez,553882,2022,,,,,,,,,,,,,4,
Harold Ramírez,623912,2022,71,96,56,18,84,20,25,55,68,91,22,50,75,
Harrison Bader,664056,2022,16,46,14,10,23,11,14,1,4,71,8,71,94,92
José Ramírez,608070,2022,70,75,67,57,78,63,36,32,39,99,71,97,85,63
Shohei Ohtani,660271,2022,97,86,98,98,94,98,97,96,90,43,90,29,77,
Jo Adell,666176,2022,,,,,,,,,,,,,98,
Seiya Suzuki,673548,2022,50,32,55,65,48,44,72,69,62,21,69,52,78,18
Royce Lewis,668904,2022,,,,,,,,,,,,,82,
Sam Huff,669087,2022,,,,,,,,,,,,,41,
Jake Marisnick,545350,2022,,,,,,,,,,,,,87,
Trayce Thompson,572204,2022,,,,,,,,,,,,,70,
Donovan Solano,456781,2022,,,,,,,,,,,,,19,
Aramis Garcia,605244,2022,,,,,,,,,,,,,23,
Trey Mancini,641820,2022,82,80,76,69,81,82,70,64,66,48,54,33,16,63
Josh Rojas,668942,2022,36,38,30,31,51,11,14,57,48,56,69,65,56,18
Owen Miller,680911,2022,18,42,15,13,31,14,12,13,19,54,32,82,92,88
Corey Dickerson,572816,2022,,,,,,,,,,,,,44,
Mike Yastrzemski,573262,2022,56,27,46,55,63,69,70,66,50,42,87,62,45,63
Luis Urías,649966,2022,38,16,28,40,47,38,46,9,15,44,75,67,29,2
Daniel Vogelbach,596129,2022,87,37,78,84,90,61,79,78,73,33,99,75,2,
Marcus Semien,543760,2022,21,23,29,36,19,63,34,11,17,83,43,73,87,77
Cole Tucker,657061,2022,,,,,,,,,,,,,61,
Travis Jankowski,608671,2022,,,,,,,,,,,,,92,
Aledmys Díaz,649557,2022,67,86,65,43,61,28,45,24,52,70,37,57,61,63
Austin Nola,543592,2022,26,51,12,8,56,2,3,76,54,74,48,94,35,
Spencer Torkelson,679529,2022,19,13,14,27,32,28,40,61,40,26,65,48,63,43
Aaron Hicks,543305,2022,46,19,13,21,83,20,27,34,20,46,98,41,60,77
Nelson Cruz,443558,2022,58,41,58,65,57,80,71,84,88,44,69,12,13,
