,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
160,Luke Weaver,0.3,0.29,0.21,0.15,0.51,0.47,0.21,0.21,0.28,0.42,0.65,0.29,0.3,0.45,0.91,0.36,6.01
161,John Gant,0.18,0.24,0.51,0.71,0.01,0.47,0.83,0.24,0.52,0.17,0.02,0.33,0.18,0.11,0.92,0.53,5.97
162,Jack Flaherty,0.22,0.42,0.19,0.09,0.39,0.45,0.22,0.25,0.27,0.68,0.52,0.65,0.22,0.5,0.46,0.43,5.96
163,Matt Andriese,0.17,0.04,0.18,0.39,0.19,0.81,0.68,0.05,0.08,0.42,0.84,0.23,0.17,0.21,0.7,0.79,5.95
164,Johnny Cueto,0.21,0.11,0.22,0.36,0.31,0.34,0.71,0.57,0.57,0.25,0.81,0.23,0.21,0.27,0.43,0.34,5.94
165,Antonio Senzatela,0.4,0.14,0.4,0.67,0.44,0.19,0.79,0.15,0.2,0.05,0.95,0.07,0.4,0.72,0.19,0.13,5.89
166,Vladimir Gutierrez,0.32,0.32,0.36,0.4,0.33,0.22,0.4,0.48,0.49,0.12,0.35,0.27,0.32,0.49,0.32,0.67,5.86
167,Kyle Zimmer,0.25,0.59,0.46,0.38,0.2,0.61,0.2,0.41,0.56,0.28,0.04,0.39,0.25,0.66,0.51,0.05,5.84
168,Josh Tomlin,0.13,0.02,0.05,0.12,0.47,0.57,0.37,0.41,0.42,0.1,1,0.29,0.13,0.02,0.93,0.79,5.82
169,Triston McKenzie,0.37,0.61,0.43,0.3,0.36,0.24,0.18,0.17,0.23,0.77,0.14,0.65,0.37,0.32,0.53,0.13,5.8
